,Movie,Director,Running time,Actor 1,Genre,Budget,Box Office,Earnings,Oscar and Golden Globes awards,Release year,IMDb score
166,Concussion,Peter Landesman,123,Will Smith,Biography,35000000,60000000,25000000,0.0,2015,7.1
167,Contagion,Steven Soderbergh,106,Matt Damon,Thriller,60000000,135000000,75000000,0.0,2011,6.6
168,Contraband,Baltasar Kormákur,109,J.K. Simmons,Action,25000000,96000000,71000000,0.0,2012,6.5
169,Control,Anton Corbijn,122,Sam Riley,Biography,6400000,9000000,2600000,0.0,2007,7.7
170,Cop Out,Kevin Smith,107,Bruce Willis,Action,37000000,58000000,21000000,0.0,2010,5.6
171,Coraline,Henry Selick,100,Jennifer Saunders,Animation,60000000,124000000,64000000,0.0,2009,7.7
172,Couples Retreat,Peter Billingsley,113,Jon Favreau,Comedy,60000000,171000000,111000000,0.0,2009,5.5
173,Courage,Angelo Pizzo,118,Donny Boaz,Biography,20000000,35000000,15000000,0.0,2015,7.0
174,Courageous,Alex Kendrick,129,Ben Davies,Drama,2000000,34000000,32000000,0.0,2011,7.0
175,Coyote Ugly,David McNally,107,Adam Garcia,Comedy,45000000,114000000,69000000,0.0,2000,5.6
176,Cradle 2 the Grave,Andrzej Bartkowiak,101,Jet Li,Action,30000000,56000000,26000000,0.0,2003,5.8
177,Crazy Stupid Love.,Glenn Ficarra,118,Ryan Gosling,Comedy,50000000,144000000,94000000,0.0,2011,7.4
178,Criminal,Ariel Vromen,113,Gary Oldman,Action,31500000,12000000,-19500000,0.0,2016,6.3
179,Crop Circles: Quest for Truth,William Gazecki,115,Karen Alexander,Documentary,750000,75000000,74250000,0.0,2002,7.0
180,Curious George,Matthew O'Callaghan,78,Will Ferrell,Animation,50000000,69800000,19800000,0.0,2006,6.6
181,Curse of the Golden Flower,Yimou Zhang,114,Li Gong,Drama,45000000,78000000,33000000,0.0,2006,7.0
182,Cursed,Wes Craven,99,Shannon Elizabeth,Comedy,35000000,29000000,-6000000,0.0,2005,5.0
183,Cypher,Vincenzo Natali,95,David Hewlett,Mystery,7500000,14000000,6500000,0.0,2002,6.8
184,D.E.B.S.,Angela Robinson,91,Jordana Brewster,Action,3500000,3000000,-500000,0.0,2004,5.3
185,Daddy Day Care,Steve Carr,92,Anjelica Huston,Comedy,60000000,164000000,104000000,0.0,2003,5.5
186,Daddy's Home,Sean Anders,96,Will Ferrell,Comedy,50000000,242000000,192000000,0.0,2015,6.1
187,Dark Water,Walter Salles,103,Dougray Scott,Thriller,30000000,51000000,21000000,0.0,2005,5.6
188,Dawn of the Dead,Zack Snyder,110,Ty Burrell,Action,26000000,102000000,76000000,0.0,2004,7.4
189,Death Race,Paul W.S. Anderson,111,Jason Statham,Sci-Fi,45000000,76000000,31000000,0.0,2008,6.4
190,Death to Smoochy,Danny DeVito,109,Robin Williams,Comedy,55000000,8140000,-46860000,0.0,2002,6.4
191,Delgo,Marc F. Adler,94,Eric Idle,Animation,40000000,1900000,-38100000,0.0,2008,4.4
192,Deliver Us from Evil,Scott Derrickson,118,Olivia Munn,Horror,30000000,87000000,57000000,0.0,2014,6.2
193,Despicable Me,Pierre Coffin,87,Steve Carell,Animation,69000000,543000000,474000000,0.0,2010,7.7
194,Diamond Ruff,Alec Asten,82,Luis Sanchez,Action,500000,3500000,3000000,0.0,2015,4.3
195,Did You Hear About the Morgans?,Marc Lawrence,103,Michael Kelly,Comedy,58000000,34000000,-24000000,0.0,2009,4.7
196,Dinosaur,Eric Leighton,82,Alfre Woodard,Animation,127500000,350000000,222500000,0.0,2000,6.5
197,Disturbia,D.J. Caruso,105,Sarah Roemer,Drama,20000000,118000000,98000000,0.0,2007,6.9
198,Divergent,Neil Burger,139,Kate Winslet,Adventure,85000000,288000000,203000000,0.0,2014,6.7
199,Domestic Disturbance,Harold Becker,89,Steve Buscemi,Crime,53000000,54500000,1500000,0.0,2001,5.5
200,Domino,Tony Scott,127,Ian Ziering,Action,50000000,22900000,-27100000,0.0,2005,6.0
201,Don't Be Afraid of the Dark,Troy Nixey,99,Bailee Madison,Horror,25000000,1200000,-23800000,0.0,2010,5.6
202,Don't Say a Word,Gary Fleder,113,Oliver Platt,Crime,50000000,103000000,53000000,0.0,2001,6.3
203,Doom,Andrzej Bartkowiak,113,Dwayne Johnson,Action,60000000,56000000,-4000000,0.0,2005,5.2
204,Doomsday,Neil Marshall,113,Ryan Kruger,Sci-Fi,30000000,21500000,-8500000,0.0,2008,6.0
205,Down to Earth,Chris Weitz,87,Chazz Palminteri,Comedy,30000000,19000000,-11000000,0.0,2001,5.4
206,Dr. Dolittle 2,Steve Carr,87,Raven-Symoné,Comedy,72000000,176000000,104000000,0.0,2001,4.6
